User_Id:0	 Questions Asked:3	 Answers Posted:1	 	Votes:0
User_Id:1	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:2	 Questions Asked:3	 Answers Posted:5	 	Votes:70
User_Id:3	 Questions Asked:11	 Answers Posted:9	 	Votes:292
User_Id:4	 Questions Asked:8	 Answers Posted:28	 	Votes:84
User_Id:5	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:6	 Questions Asked:4	 Answers Posted:0	 	Votes:97
User_Id:7	 Questions Asked:0	 Answers Posted:5	 	Votes:10
User_Id:8	 Questions Asked:32	 Answers Posted:19	 	Votes:131
User_Id:9	 Questions Asked:2	 Answers Posted:4	 	Votes:109
User_Id:10	 Questions Asked:1	 Answers Posted:4	 	Votes:68
User_Id:11	 Questions Asked:10	 Answers Posted:4	 	Votes:66
User_Id:12	 Questions Asked:0	 Answers Posted:0	 	Votes:12
User_Id:13	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:14	 Questions Asked:0	 Answers Posted:0	 	Votes:4
User_Id:15	 Questions Asked:2	 Answers Posted:7	 	Votes:70
User_Id:16	 Questions Asked:6	 Answers Posted:4	 	Votes:29
User_Id:17	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:18	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:19	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:20	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:21	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:22	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:23	 Questions Asked:13	 Answers Posted:2	 	Votes:102
User_Id:24	 Questions Asked:0	 Answers Posted:0	 	Votes:1
User_Id:25	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:26	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:27	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:28	 Questions Asked:6	 Answers Posted:1	 	Votes:28
User_Id:29	 Questions Asked:6	 Answers Posted:33	 	Votes:166
User_Id:30	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:31	 Questions Asked:2	 Answers Posted:0	 	Votes:19
User_Id:32	 Questions Asked:2	 Answers Posted:0	 	Votes:4
User_Id:33	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:34	 Questions Asked:0	 Answers Posted:1	 	Votes:2
User_Id:35	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:36	 Questions Asked:2	 Answers Posted:2	 	Votes:23
User_Id:37	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:38	 Questions Asked:1	 Answers Posted:17	 	Votes:937
User_Id:39	 Questions Asked:0	 Answers Posted:0	 	Votes:3
User_Id:40	 Questions Asked:16	 Answers Posted:5	 	Votes:567
User_Id:41	 Questions Asked:0	 Answers Posted:1	 	Votes:30
User_Id:42	 Questions Asked:3	 Answers Posted:1	 	Votes:69
User_Id:43	 Questions Asked:4	 Answers Posted:0	 	Votes:18
User_Id:44	 Questions Asked:2	 Answers Posted:0	 	Votes:15
User_Id:45	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:46	 Questions Asked:1	 Answers Posted:2	 	Votes:16
User_Id:47	 Questions Asked:26	 Answers Posted:21	 	Votes:141
User_Id:48	 Questions Asked:16	 Answers Posted:3	 	Votes:35
User_Id:49	 Questions Asked:1	 Answers Posted:0	 	Votes:6
User_Id:50	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:51	 Questions Asked:6	 Answers Posted:6	 	Votes:13
User_Id:52	 Questions Asked:0	 Answers Posted:1	 	Votes:2
User_Id:53	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:54	 Questions Asked:4	 Answers Posted:5	 	Votes:98
User_Id:55	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:56	 Questions Asked:0	 Answers Posted:0	 	Votes:1
User_Id:57	 Questions Asked:2	 Answers Posted:16	 	Votes:210
User_Id:58	 Questions Asked:9	 Answers Posted:14	 	Votes:183
User_Id:59	 Questions Asked:14	 Answers Posted:2	 	Votes:66
User_Id:60	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:61	 Questions Asked:0	 Answers Posted:0	 	Votes:1
User_Id:62	 Questions Asked:1	 Answers Posted:0	 	Votes:16
User_Id:63	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:64	 Questions Asked:17	 Answers Posted:17	 	Votes:241
User_Id:65	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:66	 Questions Asked:0	 Answers Posted:0	 	Votes:2
User_Id:67	 Questions Asked:0	 Answers Posted:0	 	Votes:15
User_Id:68	 Questions Asked:0	 Answers Posted:0	 	Votes:2
