User_Id:0	 Questions Asked:9	 Answers Posted:0	 	Votes:0
User_Id:1	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:2	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:3	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:4	 Questions Asked:0	 Answers Posted:0	 	Votes:19
User_Id:5	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:6	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:7	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:8	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:9	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:10	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:11	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:12	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:13	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:14	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:15	 Questions Asked:0	 Answers Posted:0	 	Votes:1
User_Id:16	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:17	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:18	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:19	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:20	 Questions Asked:1	 Answers Posted:92	 	Votes:356
User_Id:21	 Questions Asked:7	 Answers Posted:9	 	Votes:108
User_Id:22	 Questions Asked:14	 Answers Posted:8	 	Votes:73
User_Id:23	 Questions Asked:7	 Answers Posted:20	 	Votes:361
User_Id:24	 Questions Asked:20	 Answers Posted:104	 	Votes:568
User_Id:25	 Questions Asked:12	 Answers Posted:156	 	Votes:436
User_Id:26	 Questions Asked:0	 Answers Posted:5	 	Votes:1
User_Id:27	 Questions Asked:1	 Answers Posted:0	 	Votes:0
User_Id:28	 Questions Asked:0	 Answers Posted:48	 	Votes:37
User_Id:29	 Questions Asked:2	 Answers Posted:1	 	Votes:4
User_Id:30	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:32	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:34	 Questions Asked:1	 Answers Posted:20	 	Votes:13
User_Id:35	 Questions Asked:3	 Answers Posted:2	 	Votes:3
User_Id:36	 Questions Asked:0	 Answers Posted:1	 	Votes:0
User_Id:37	 Questions Asked:2	 Answers Posted:1	 	Votes:4
User_Id:38	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:39	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:40	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:41	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:42	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:43	 Questions Asked:0	 Answers Posted:0	 	Votes:0
User_Id:45	 Questions Asked:0	 Answers Posted:0	 	Votes:0
